"","name","V1","circuit.1","child","girls","sons","woman","age","yearb","race","religion","republican","songerID","progressive.vote","no_cases"
"69","Fisher, Raymond",74,9,2,1,1,0,NA,NA,NA,NA,0,985,0.666666666666667,6
"70","Flaum, Joel M.",75,7,2,1,1,0,47,1936,1,5,1,715,0.46875,32
"71","Fletcher, Betty B.",76,9,4,2,2,0,56,1923,1,8,0,920,0.75,8
"72","Fletcher, William",77,9,0,0,0,0,43,1953,1,99,0,975,1,5
"73","Fuentes, Julio",78,3,3,3,0,0,NA,NA,NA,NA,0,347,0.333333333333333,3
"74","Garland, Merrick",79,12,2,2,0,0,NA,NA,NA,NA,0,1253,0.5,6
"75","Garth, Leonard I.",80,3,1,1,0,0,52,1921,1,5,1,312,0.5,4
"76","Garwood, William L.",81,5,2,1,1,0,50,1931,1,2,1,517,0.166666666666667,6
"77","Garza, Emilio M.",82,5,0,0,0,0,44,1947,3,4,1,565,0.375,8
"78","Garza, Reynaldo",83,5,4,2,2,0,64,1915,3,4,0,518,0.666666666666667,6
"79","Gibbons, Julia",84,6,2,1,1,1,NA,NA,NA,NA,1,653,0,2
"80","Gibson, John R.",86,8,4,3,1,0,64,1925,1,7,1,813,0.5625,16
"81","Gilman, Ronald",87,6,2,2,0,0,NA,NA,NA,NA,0,652,0.368421052631579,19
"82","Ginsburg, Douglas, H.",88,12,3,3,0,0,40,1946,1,5,1,1215,0.666666666666667,9
"83","Godbold, John",89,5,4,3,1,0,46,1920,1,2,0,521,0.333333333333333,3
"84","Goodwin, Alfred T.",90,9,5,2,3,0,48,1923,1,7,1,923,0.714285714285714,7
"85","Gould, Ronald",91,9,2,1,1,0,NA,NA,NA,NA,0,976,0.8,5
"86","Graber, Susan",92,9,1,1,0,1,NA,NA,NA,NA,0,977,0.428571428571429,7
"87","Greenberg, Morton I.",93,3,3,2,1,0,54,1933,1,5,1,315,0.384615384615385,13
"88","Gregory, Roger",94,4,3,3,0,0,NA,NA,NA,NA,0,436,0.333333333333333,6
"89","Hall, Cynthia H.",96,9,0,0,0,1,55,1929,1,2,1,924,0.555555555555556,9
"90","Hamilton, Clyde H.",97,4,2,0,2,0,57,1934,1,10,1,429,0.555555555555556,9
"91","Hartz, Harris",99,10,2,0,2,0,NA,NA,NA,NA,1,1035,0,4
"92","Hatchett, Joseph W.",100,5,2,2,0,0,47,1932,2,3,0,523,0.5,6
"93","Hawkins, Michael Daly",101,9,2,0,2,0,NA,1945,1,24,0,972,0.4,5
"94","Heaney, Gerald",102,8,2,1,1,0,48,1918,1,4,0,815,0.36,25
"95","Henderson, Albert J.",103,5,2,1,1,0,59,1920,1,3,0,524,1,2
"96","Henderson, Karen LeCraft",104,12,0,0,0,1,46,1944,1,4,1,1249,0.4,5
"97","Henley, Jesse Smith",105,8,3,3,0,0,58,1917,1,7,1,816,0.25,4
"98","Henry, Robert Harlan",106,10,1,0,1,0,NA,1953,1,4,0,1030,0.263157894736842,19
"99","Higginbotham, Patrick E.",107,5,2,2,0,0,44,1938,1,10,1,525,0.272727272727273,11
"100","Hill, James C.",108,11,2,0,2,0,NA,NA,NA,NA,1,1110,0.5,4
"101","Holloway, William",109,10,2,1,1,0,45,1923,1,10,0,1012,0.230769230769231,13
"102","Howard, Jeffrey",110,1,2,0,2,0,NA,NA,NA,NA,1,124,0,2
"103","Hug, Procter R.",111,9,3,2,1,0,46,1931,1,4,0,930,0.428571428571429,7
"104","Hull,  Frank",112,11,2,1,1,0,NA,NA,NA,NA,0,1124,1,1
"105","Jacobs, Dennis G.",113,2,0,0,0,0,48,1944,1,5,1,243,0.5625,16
"106","Jones, Edith H.",115,5,3,0,3,1,36,1949,1,7,1,533,0.222222222222222,9
"107","Jones, Nathaniel R.",116,6,5,2,3,0,53,1926,2,3,0,618,0.545454545454545,11
"108","Kanne, Michael S.",117,7,2,2,0,0,49,1938,1,4,1,717,0.3125,32
"109","Katzmann, Robert",118,2,0,0,0,0,NA,NA,NA,NA,0,248,0.166666666666667,6
"110","Kearse, Amalya Lyle",119,2,0,0,0,1,42,1937,2,NA,0,216,0.666666666666667,12
"111","Keith, Damon J.",120,6,3,3,0,0,55,1922,2,3,0,619,0.5,12
"112","Kelly, Paul J., Jr.",121,10,5,3,2,0,52,1940,1,4,1,1029,0.125,24
"113","Kennedy, Cornelia Groefsema",122,6,1,0,1,1,56,1923,1,4,0,620,0.210526315789474,19
"114","King, Carolyn Dineen",123,5,3,0,3,1,NA,NA,NA,NA,0,536,0.285714285714286,7
"115","Kleinfeld, Andrew J.",125,9,3,1,2,0,46,1945,1,5,1,971,0,4
"116","Kozinski, Alex",126,9,3,0,3,0,35,1950,1,5,1,936,0.166666666666667,6
"117","Kravitch, Phyllis A.",127,5,0,0,0,1,59,1920,1,5,0,537,0.571428571428571,7
"118","Lay, Donald",129,8,5,5,0,0,40,1926,1,8,0,818,0.625,16
"119","Leavy, Edward",130,9,4,1,3,0,58,1929,1,4,1,937,0.333333333333333,3
"120","Leval, Pierre Nelson",131,2,1,1,0,0,NA,1936,1,4,0,244,0.583333333333333,12
"121","Lewis, Timothy K.",132,3,2,1,1,0,NA,NA,NA,NA,1,342,1,2
"122","Lipez, Kermit",133,1,2,2,0,0,NA,NA,NA,NA,0,123,0.5,8
"123","Loken, James B.",134,8,2,2,0,0,50,1940,1,8,1,839,0.282608695652174,46
"124","Lucero, Carlos",135,10,1,1,0,0,55,1940,3,4,0,1032,0.352941176470588,17
"125","Luttig, J. Michael",136,4,2,1,1,0,37,1954,1,NA,1,430,0.307692307692308,13
"126","Lynch, Sandra",137,1,1,0,1,1,49,1946,1,4,0,122,0.411764705882353,17
"127","Magill, Frank J.",138,8,1,0,1,0,59,1927,1,4,1,821,0.208333333333333,24
"128","Mahoney, J. Daniel",139,2,6,3,3,0,55,1931,1,4,1,219,1,1
"129","Manion, Daniel A.",140,7,0,0,0,0,44,1942,1,4,1,724,0.195121951219512,41
"130","Mansmann, Carol Los",141,3,4,1,3,1,43,1942,1,4,1,322,0.333333333333333,3
"131","Marcus, Stanley",142,11,2,1,1,0,NA,NA,NA,NA,1,1125,0.625,8
"132","Martin, Boyce F., Jr.",143,6,4,2,2,0,44,1935,1,2,0,625,0.5,4
"133","McKay, Monroe G.",144,10,9,5,4,0,49,1928,1,17,0,1018,0.5,16
"134","McKee, Theodore Alexander",145,3,2,2,0,0,NA,1947,2,99,0,343,0.571428571428571,7
"135","McKeown, M. Margaret",146,9,0,0,0,1,NA,NA,NA,NA,0,978,0,2
"136","McLaughlin, Joseph W.",147,2,4,1,3,0,57,1933,1,4,1,241,0.333333333333333,9
