"V1","girls","sons","woman","child","race","republican","circuit","circuit.1","age","religion","yearb","songerID","year","source1","source2","area","z","vote"
3068,0,2,0,2,NA,0,"2",NA,NA,NA,NA,253,1997,NA,NA,"employment",0,3
3072,0,2,0,2,NA,0,"2",NA,NA,NA,NA,253,1997,NA,NA,"employment",0,1
3073,0,2,0,2,NA,0,"2",NA,NA,NA,NA,253,1997,NA,NA,"employment",0,3
3079,0,2,0,2,NA,0,"2",NA,NA,NA,NA,253,1996,NA,NA,"employment",0,1
1002,1,2,0,3,1,0,"9",3,49,4,1919,302,2000,13,14,"employment",1,3
1754,1,2,0,3,1,0,"5",3,49,4,1919,302,2001,13,14,"employment",1,1
2537,1,2,0,3,1,0,"10",3,49,4,1919,302,2002,13,14,"employment",1,2
172,1,2,0,3,1,1,"3",3,49,5,1933,303,2002,13,14,"employment",1,1
178,1,2,0,3,1,1,"3",3,49,5,1933,303,2001,13,14,"employment",1,1
185,1,2,0,3,1,1,"3",3,49,5,1933,303,1999,13,14,"employment",1,1
187,1,2,0,3,1,1,"3",3,49,5,1933,303,1999,13,14,"employment",1,2
189,1,2,0,3,1,1,"3",3,49,5,1933,303,1999,13,14,"employment",1,3
190,1,2,0,3,1,1,"3",3,49,5,1933,303,1999,13,14,"employment",1,3
193,1,2,0,3,1,1,"3",3,49,5,1933,303,1997,13,14,"employment",1,3
198,1,2,0,3,1,1,"3",3,49,5,1933,303,1997,13,14,"employment",1,1
1249,1,2,0,3,1,1,"3",3,49,5,1933,303,2002,13,14,"employment",1,1
192,2,0,0,2,1,1,"3",3,57,5,1930,308,1997,13,14,"employment",1,2
1656,2,0,0,2,1,1,"3",3,57,5,1930,308,1997,13,14,"employment",1,2
1661,2,0,0,2,1,1,"3",3,57,5,1930,308,1997,13,14,"employment",1,3
3105,2,0,0,2,1,1,"3",3,57,5,1930,308,1999,13,14,"employment",1,2
4050,2,0,0,2,1,1,"11",3,57,5,1930,308,2002,13,14,"employment",1,1
4051,2,0,0,2,1,1,"11",3,57,5,1930,308,2002,13,14,"employment",1,1
4165,2,0,0,2,1,1,"3",3,57,5,1930,308,2002,13,14,"employment",1,1
4173,2,0,0,2,1,1,"3",3,57,5,1930,308,2002,13,14,"employment",1,1
3108,1,0,0,1,1,1,"3",3,52,5,1921,312,1999,13,14,"employment",1,3
3111,1,0,0,1,1,1,"3",3,52,5,1921,312,1997,13,14,"employment",1,3
3119,1,0,0,1,1,1,"3",3,52,5,1921,312,1997,13,14,"employment",1,1
4164,1,0,0,1,1,1,"3",3,52,5,1921,312,2002,13,14,"employment",1,1
37,2,1,0,3,1,1,"1",3,54,5,1933,315,2002,13,14,"employment",1,3
181,2,1,0,3,1,1,"3",3,54,5,1933,315,2000,13,14,"employment",1,2
182,2,1,0,3,1,1,"3",3,54,5,1933,315,2000,13,14,"employment",1,2
186,2,1,0,3,1,1,"3",3,54,5,1933,315,1999,13,14,"employment",1,1
194,2,1,0,3,1,1,"3",3,54,5,1933,315,1997,13,14,"pregnancy",1,1
197,2,1,0,3,1,1,"3",3,54,5,1933,315,1997,13,14,"employment",1,2
199,2,1,0,3,1,1,"3",3,54,5,1933,315,1997,13,14,"employment",1,1
213,2,1,0,3,1,1,"3",3,54,5,1933,315,1997,13,14,"reproductive rights",1,1
214,2,1,0,3,1,1,"3",3,54,5,1933,315,1997,13,14,"pregnancy",1,1
1495,2,1,0,3,1,1,"1",3,54,5,1933,315,2002,13,14,"employment",1,1
1648,2,1,0,3,1,1,"3",3,54,5,1933,315,1999,13,14,"employment",1,3
1663,2,1,0,3,1,1,"3",3,54,5,1933,315,1996,13,14,"employment",1,1
3116,2,1,0,3,1,1,"3",3,54,5,1933,315,1997,13,14,"employment",1,1
196,1,3,1,4,1,1,"3",3,43,4,1942,322,1997,13,14,"employment",1,3
204,1,3,1,4,1,1,"3",3,43,4,1942,322,1996,13,14,"employment",1,1
1657,1,3,1,4,1,1,"3",3,43,4,1942,322,1997,13,14,"employment",1,1
3104,0,2,0,2,1,1,"3",3,60,5,1910,328,1999,13,14,"employment",0,1
3106,0,2,0,2,1,1,"3",3,60,5,1910,328,1999,13,14,"employment",0,3
3124,0,2,0,2,1,1,"3",3,60,5,1910,328,1996,13,14,"employment",0,1
3117,1,3,0,4,1,0,"3",3,52,4,1914,330,1997,13,14,"employment",1,1
174,1,0,1,1,1,0,"3",3,47,5,1932,331,2002,13,14,"employment",1,3
175,1,0,1,1,1,0,"3",3,47,5,1932,331,2002,13,14,"employment",1,3
188,1,0,1,1,1,0,"3",3,47,5,1932,331,1999,13,14,"employment",1,3
202,1,0,1,1,1,0,"3",3,47,5,1932,331,1997,13,14,"employment",1,3
209,1,0,1,1,1,0,"3",3,47,5,1932,331,2002,13,14,"employment",1,3
1244,1,0,1,1,1,0,"3",3,47,5,1932,331,2002,13,14,"employment",1,3
201,1,2,0,3,1,1,"3",3,51,3,1934,335,1997,13,14,"employment",1,1
206,1,2,0,3,1,1,"3",3,51,3,1934,335,1996,13,14,"employment",1,3
960,1,2,0,3,1,1,"9",3,51,3,1934,335,2002,13,14,"employment",1,1
4180,1,2,0,3,1,1,"4",3,51,3,1934,335,2002,13,14,"employment",1,1
1649,2,1,0,3,1,1,"3",3,50,4,1923,338,1999,13,14,"employment",1,3
