name,z,circuit,child,girls,sons,woman,age,race,religion,republican,songerID,no_cases,agemiss,religmiss,racemiss,race.0,race.1,race.2,race.3,race.4,religion.0,religion.1,religion.10,religion.2,religion.3,religion.4,religion.5,religion.7,religion.8,religion.9,religion.99,circuit.1,circuit.10,circuit.11,circuit.12,circuit.2,circuit.3,circuit.4,circuit.5,circuit.6,circuit.7,circuit.8,circuit.9,pscore,matches
"Brown, Bailey",0,6,1,0,1,0,62,1,2,0,605,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.867725045801009,1.22
"Brunetti, Melvin T.",1,9,2,1,1,0,52,1,0,1,908,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.999999988166327,
"Buckley, James L.",1,12,6,1,5,0,62,1,4,1,1207,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.83595889954638,
"Bye, Kermit",1,8,3,2,1,0,0,0,0,0,843,12,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.783970840784529,1.16
"Cabranes, Jose Alberto",1,2,4,2,2,0,0,3,4,0,246,8,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
"Calabresi, Guido",1,2,3,2,1,0,0,1,4,0,245,18,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.597305995994108,
"Campbell, Levin H.",1,1,3,2,1,0,45,1,8,1,106,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.854503626552389,
"Canby, William C.",1,9,3,1,2,0,49,1,0,0,909,7,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.999999995114223,
"Clark, Thomas A.",1,5,3,1,2,0,59,1,10,0,510,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.901206342654406,
"Coffey, John L.",1,7,2,1,1,0,60,1,4,1,705,32,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.539932648403078,1.8
"Coffin, Frank",1,1,4,3,1,0,46,1,3,0,107,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.914807617557255,
"Cole, Ransey",1,6,3,1,2,0,0,0,0,0,651,18,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.712623491000199,1.18
